taxonID,description,type
alien-birds-checklist:taxon:bae1178b48c500e2de083a6c17e44add,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:bae1178b48c500e2de083a6c17e44add,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:bb0f80cbba6ba72655ce5022932c18eb,Hawaiian Islands (WGSRPD:HI),native range
alien-birds-checklist:taxon:bc274a32acf650c255605cbdbb85b352,America,native range
alien-birds-checklist:taxon:bc274a32acf650c255605cbdbb85b352,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:bc274a32acf650c255605cbdbb85b352,casual (blackburn_2011:C1),degree of establishment
alien-birds-checklist:taxon:bdc413f5b6466db4c61ceae1a9a151e4,China (WGSRPD:36),native range
alien-birds-checklist:taxon:bdc413f5b6466db4c61ceae1a9a151e4,Indian Subcontinent (WGSRPD:40),native range
alien-birds-checklist:taxon:bdc413f5b6466db4c61ceae1a9a151e4,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:bdc413f5b6466db4c61ceae1a9a151e4,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:be2d3aba541e3fb275b2107f7c9f861d,Europe (WGSRPD:1),native range
alien-birds-checklist:taxon:c25246c69c8a4f41c61d7ef0ceb8e776,Eurasia Africa,native range
alien-birds-checklist:taxon:c28069eae0bea3566bc1443bf519c30b,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:c28069eae0bea3566bc1443bf519c30b,Eastern Europe (WGSRPD:14),native range
alien-birds-checklist:taxon:c322a63acc08e4bef9f22ef12112e6c8,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:c68c5dc3241387ef6ca3e564295e314f,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:c762ee15bd61ac1b256c4680b915262c,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:c88d7ae9c234318d2c27c351f1d5c28f,cbd_2014_pathway:escape,pathway
